refe,count(*)
112894VBOX,42641
117154VBOX,81357
118761VBOX,90923
119927VBOX,162193
137319VBOX,109327
139581VBOX,92990
146993VBOX,83868
147839VBOX,95922
155599VBOX,83751
157678VBOX,75021
162817VBOX,83751
172313VBOX,85690
193617VBOX,94660
228417VBOX,13723
234827VBOX,75883
239424VBOX,2091
244246VBOX,71838
261665VBOX,80121
269318VBOX,94855
275635VBOX,22043
289659VBOX,33719
295556VBOX,199975
299523VBOX,24593
339419VBOX,56015
341139VBOX,109205
346684VBOX,99998
362293VBOX,157517
388284VBOX,194520
396166VBOX,102867
418371VBOX,86112
426262VBOX,232
428542VBOX,88304
431642VBOX,330440
447876VBOX,64023
449767VBOX,137302
464883VBOX,22871
464967VBOX,24086
488739VBOX,71838
494521VBOX,545713
494814VBOX,87228
499599VBOX,90088
511781VBOX,72927
526491VBOX,131474
529428VBOX,138734
534351VBOX,696293
535751VBOX,420450
557931VBOX,79937
566598VBOX,73796
572367VBOX,86016
576987VBOX,121030
577331VBOX,88304
612877VBOX,35329
614873VBOX,42057
615783VBOX,83132
632367VBOX,107006
633211VBOX,696291
634655VBOX,107828
643167VBOX,71838
643839VBOX,90783
647693VBOX,120160
667293VBOX,47547
676864VBOX,76139
678511VBOX,40321
684364VBOX,104724
696658VBOX,99782
699753VBOX,209208
716943VBOX,33719
736327VBOX,94031
746499VBOX,174397
749532VBOX,103734
752141VBOX,71838
756555VBOX,104724
758574VBOX,94660
773761VBOX,85171
774841VBOX,95275
775471VBOX,51154
812683VBOX,130138
812754VBOX,94660
813128VBOX,75123
815231VBOX,86558
833431VBOX,84675
836886VBOX,99998
842232VBOX,14307
847855VBOX,741516
854359VBOX,95486
859428VBOX,990794
865916VBOX,92990
868387VBOX,10757
871681VBOX,83865
871692VBOX,17304
894614VBOX,79900
912629VBOX,156672
912882VBOX,73299
913275VBOX,67307
921222VBOX,110060
942297VBOX,85691
943674VBOX,33719
948914VBOX,123577
948937VBOX,119999
974395VBOX,159423
974554VBOX,330636
