refe,h3_cell,loading_status,n_points,centroid_lat,centroid_lng,avg_heading,avg_speed,avg_vertical_speed,avg_height,avg_longitudinal_a,avg_lateral_a,avg_ratius_ot,avg_vehicle_w,avg_tkph_f,avg_tkph_r,avg_slope_percent,transparency
341139VBOX,8c66034b04da1ff,Loaded,6,7.906380567202968,-75.53662541264535,183.52,21.3,0.0,122.32,-0.01,0.01,,974.3,1151.0,1111.0,0.0,0.0535
341139VBOX,8c66034b04da3ff,Loaded,5,7.906240748528209,-75.53652317252025,180.46,20.86,-0.32,121.84,0.0,-0.0,,974.3,1170.8,1131.8,-0.002,0.0436
341139VBOX,8c66034b04da9ff,Loaded,6,7.906529394323914,-75.53655344508257,185.23,21.92,0.23,122.18,0.0,-0.03,,974.3,1151.0,1111.0,0.0,0.055
341139VBOX,8c66034b04de1ff,Loaded,5,7.906818039223376,-75.53658371759352,137.55,19.87,0.13,122.14,0.02,-0.15,,974.3,1131.2,1090.2,0.012,0.0416
341139VBOX,8c66034b04de3ff,Loaded,2,7.90667822112672,-75.53648147761578,170.5,21.48,0.11,123.24,0.02,-0.16,,974.3,1052.0,1007.0,0.01,0.018
341139VBOX,8c66034b04de5ff,Loaded,8,7.906809030754084,-75.53675792511083,92.63,17.9,0.66,121.66,0.02,-0.09,,974.3,1151.0,1111.0,0.025,0.06
341139VBOX,8c66034b04de7ff,Loaded,2,7.906669212624305,-75.53665568511536,166.85,21.72,0.02,120.92,0.0,-0.1,,974.3,1250.0,1215.0,-0.01,0.0182
341139VBOX,8c66034b20081ff,Empty,5,7.90193847131236,-75.54675671376029,199.09,23.82,-0.6,140.1,-0.01,-0.02,,68.3,132.0,127.2,0.014,0.0498
341139VBOX,8c66034b20081ff,Loaded,6,7.90193847131236,-75.54675671376029,193.73,13.51,0.88,144.82,0.0,0.0,,974.3,588.67,507.5,0.0783,0.0341
341139VBOX,8c66034b20085ff,Empty,1,7.901929455673445,-75.54693093356602,195.9,15.09,1.16,143.96,0.0,0.0,,68.3,0.0,0.0,0.09,0.0063
341139VBOX,8c66034b20085ff,Loaded,8,7.901929455673445,-75.54693093356602,194.26,13.98,1.06,144.91,0.0,0.0,,974.3,871.62,808.38,0.0775,0.047
341139VBOX,8c66034b20087ff,Empty,6,7.901789629909269,-75.54682869110586,208.15,21.34,-0.44,144.48,0.01,-0.01,,68.3,0.0,0.0,0.0267,0.0535
341139VBOX,8c66034b20087ff,Loaded,17,7.901789629909269,-75.54682869110586,196.36,13.62,1.26,146.16,-0.0,-0.01,,974.3,770.18,700.06,0.0829,0.0974
341139VBOX,8c66034b20089ff,Empty,4,7.902087312397403,-75.5466847365107,14.82,34.76,-2.59,140.06,-0.01,-0.0,,68.3,1051.0,1031.0,-0.0825,0.058
341139VBOX,8c66034b2008dff,Empty,3,7.902078296872815,-75.54685895616548,192.33,14.85,0.91,142.32,0.01,0.01,,68.3,0.0,0.0,0.0867,0.0187
341139VBOX,8c66034b2008dff,Loaded,18,7.902078296872815,-75.54685895616548,194.07,13.38,0.74,143.84,0.0,0.0,,974.3,799.5,730.67,0.0772,0.1012
341139VBOX,8c66034b200a3ff,Empty,4,7.901631772320534,-75.54707488865499,239.13,12.95,1.38,148.08,-0.01,-0.06,,68.3,0.0,0.0,0.09,0.0218
341139VBOX,8c66034b200a3ff,Loaded,11,7.901631772320534,-75.54707488865499,235.03,11.99,1.25,148.9,-0.0,-0.04,,974.3,875.64,815.36,0.0836,0.0556
341139VBOX,8c66034b200a7ff,Empty,1,7.9016227563717,-75.5472491089312,274.4,13.44,0.95,149.81,0.01,-0.02,,68.3,0.0,0.0,0.09,0.0057
341139VBOX,8c66034b200b1ff,Empty,1,7.901500962049547,-75.54679842599484,31.4,32.04,-3.31,140.21,-0.02,0.28,,68.3,330.0,318.0,-0.1,0.0134
341139VBOX,8c66034b200b5ff,Empty,9,7.901491946148893,-75.54697264608482,50.41,31.51,-2.99,145.83,0.0,0.21,,68.3,780.67,767.33,-0.0978,0.1183
341139VBOX,8c66034b200b5ff,Loaded,4,7.901491946148893,-75.54697264608482,234.38,11.68,1.18,149.53,-0.0,-0.03,,974.3,549.0,450.0,0.08,0.0197
341139VBOX,8c66034b200bdff,Empty,11,7.901640788188106,-75.54690066854737,2.88,25.79,-1.84,144.93,0.02,0.11,,68.3,412.18,403.82,-0.0291,0.1185
